taxon,p_comb,p_det,p_int,z_det,z_int,channel,rejected
Eubacteriumbrachygroup,0.899,0.738,0.939,-0.35484058673866264,0.10978300481117176,det,False
Eubacteriumcoprostanoligenesgroup,0.178,0.11,0.27,-1.6266328775882595,1.1325688291836058,det,False
Eubacteriumeligensgroup,0.023,0.012,0.419,-2.4483567688738104,-0.835496668877383,det,False
Eubacteriumhalliigroup,0.514,0.235,0.786,-1.2253444057694844,-0.25549329340231125,det,False
Eubacteriumrectalegroup,0.955,0.525,0.975,0.6922699169512964,-0.02709278012742957,det,False
Eubacteriumventriosumgroup,0.034,0.016,0.642,-2.4175343643201046,0.5616052252320801,det,False
Eubacteriumxylanophilumgroup,0.07,0.062,0.087,-1.7984081226172763,1.7079408015367399,det,False
Faecalibacterium,0.926,0.965,0.415,-0.05213725581556843,-0.7830789508001598,int,False
Faecalitalea,0.547,0.808,0.248,-0.2715915551365141,1.191205037513342,int,False
FamilyXIIIAD3011group,0.056,0.239,0.032,-1.2107546956344115,2.0779233670331063,int,False
Flavonifractor,0.848,0.944,0.17,-0.05366353995944816,1.3551630375380164,int,False
Fusicatenibacter,0.078,0.104,0.074,-1.6153579822990567,-1.8165955778759963,int,False
Fusobacterium,0.485,0.725,0.252,-0.35969269405790183,1.1337193924596463,int,False
Gemella,0.563,0.575,0.541,0.5407846799078028,0.7337110057879711,int,False
Granulicatella,0.19,0.576,0.095,-0.5355596065958078,1.6078779465267437,int,False
Haemophilus,0.146,0.138,0.153,-1.5113522822204115,1.4445566217517831,det,False
Holdemania,0.086,0.098,0.084,-1.6791844512071068,1.6757596673363475,det,False
Intestinibacter,0.736,0.527,0.846,-0.6483405365548771,0.22154275512841629,det,False
Lachnoclostridium,0.668,0.687,0.601,0.4049082073787552,0.5286327978790861,int,False
Lachnospira,0.69,0.224,0.876,-1.2049822877803287,-0.16901520339615037,det,False
LachnospiraceaeND3007group,0.001,0.001,0.009,-3.545995316071354,-2.4278676980366014,det,True
LachnospiraceaeNK4A136group,0.656,0.461,0.775,-0.7237901800727652,-0.3048621323677409,det,False
LachnospiraceaeUCG001,0.001,0.001,0.186,-3.3801764893004953,1.3161413088846508,det,True
LachnospiraceaeUCG008,0.396,0.441,0.363,0.8243556635256467,-0.928240442420876,int,False
LachnospiraceaeUCG010,0.708,0.818,0.488,-0.22663435869866225,0.8193616410875442,int,False
Megasphaera,0.906,0.245,0.96,-1.172407146049578,-0.05136848380223689,det,False
Odoribacter,0.363,0.325,0.399,-0.9977250771847669,0.9198250133355484,det,False
Oscillibacter,0.684,0.877,0.229,-0.13122477763918688,1.1968638283404216,int,False
Parabacteroides,0.679,0.82,0.399,-0.24779450506541717,-0.9294285534130938,int,False
Parasutterella,0.353,0.71,0.157,-0.36860945030874187,1.4207678340735248,int,False
Parvimonas,0.939,0.965,0.644,0.03955687879715948,0.5831752391904759,int,False
Peptostreptococcus,0.4,0.347,0.611,0.9462159940107029,0.6087483031927381,det,False
Phascolarctobacterium,0.882,0.924,0.787,0.09317154093668739,0.3017430403932659,int,False
Porphyromonas,0.309,0.038,0.956,2.1753324480680107,0.29255050678246547,det,False
Prevotella,0.514,0.625,0.414,-0.48235193594937875,0.8230953929967824,int,False
Prevotella7,0.693,0.245,0.872,1.197275524036373,0.44276778553768686,det,False
Prevotella9,0.828,0.749,0.87,-0.3127458714468137,0.2851330513409187,det,False
Pseudomonas,0.448,0.728,0.21,0.37294360967681944,1.2252944159569668,int,False
Romboutsia,0.12,0.089,0.197,-1.7013485224917124,1.2615683665214104,det,False
Roseburia,0.24,0.245,0.219,-1.1871543067151358,1.3037824186594107,int,False
Rothia,0.301,0.432,0.22,0.7598368509579729,1.2345490229629832,int,False
Ruminiclostridium5,0.586,0.743,0.412,-0.341558684536453,0.8195679369766802,int,False
Ruminiclostridium6,0.53,0.417,0.628,-0.861371503320306,0.5404790608305456,det,False
Ruminiclostridium9,0.424,0.324,0.523,-0.9962423154474787,0.6972702065449417,det,False
RuminococcaceaeNK4A214group,0.011,0.006,0.91,-2.6549767801449966,0.12099620578350735,det,False
RuminococcaceaeUCG002,0.097,0.044,0.743,-2.003153361522829,0.3331989034658892,det,False
RuminococcaceaeUCG003,0.289,0.202,0.459,-1.3395007816463507,0.7525117759716436,det,False
RuminococcaceaeUCG004,0.113,0.074,0.189,-1.7780428588527668,1.2998599071217234,det,False
RuminococcaceaeUCG005,0.07,0.035,0.433,-2.117589952843862,0.8795073652971309,det,False
RuminococcaceaeUCG013,0.503,0.225,0.786,-1.2234269952894101,0.2523380202352476,det,False
RuminococcaceaeUCG014,0.203,0.145,0.366,-1.443077839590092,0.9346157130823004,det,False
Ruminococcus1,0.004,0.002,0.916,-3.031998054045953,-0.1570745554279139,det,False
Ruminococcus2,0.078,0.038,0.761,-2.119247677338679,0.47038466584832045,det,False
Ruminococcusgauvreauiigroup,0.314,0.653,0.168,-0.48922153645663996,-1.3907255839750476,int,False
Ruminococcusgnavusgroup,0.914,0.93,0.882,0.09026656356772601,0.14072855152806057,int,False
Solobacterium,0.479,0.6,0.342,0.552278545917326,-0.972739457629539,int,False
Staphylococcus,0.635,0.753,0.503,0.29073233632529005,0.6571483414463503,int,False
Streptococcus,0.853,0.845,0.871,-0.20905967543214418,0.18460075992311906,det,False
Subdoligranulum,0.302,0.587,0.166,-0.5502814350734566,-1.4248772008623534,int,False
Sutterella,0.55,0.456,0.652,-0.7512027381811649,0.591298037477798,det,False
Tepidimonas,0.423,0.481,0.377,-0.6954188627062902,0.8303151508891287,int,False
Tyzzerella,0.269,0.404,0.192,-0.8733535113061744,1.307328239884615,int,False
Tyzzerella4,0.258,0.273,0.275,-1.0985648776524013,1.1004722743892899,int,False
Veillonella,0.18,0.098,0.532,-1.6696354057522123,0.8048485195073114,det,False
g,0.425,0.864,0.113,0.17987474989845426,-1.5780430237311778,int,False
uncultured,0.796,0.275,0.91,-1.125570858076299,0.23944590728232015,det,False
